ticker,source,in_sp500_ever
A,sp500,yes
AABA,sp500,yes
AAL,sp500,yes
AAP,sp500,yes
AAPL,sp500,yes
ABBV,sp500,yes
ABC,sp500,yes
ABMD,sp500,yes
ABNB,sp500,yes
ABT,sp500,yes
ACGL,sp500,yes
ACHR,seed,no
ACN,sp500,yes
ADBE,sp500,yes
ADI,sp500,yes
ADM,sp500,yes
ADP,sp500,yes
ADS,sp500,yes
ADSK,sp500,yes
ADT,sp500,yes
AEE,sp500,yes
AEP,sp500,yes
AES,sp500,yes
AET,sp500,yes
AFL,sp500,yes
AGG,etf,no
AGN,sp500,yes
AIG,sp500,yes
AIV,sp500,yes
AIZ,sp500,yes
AJG,sp500,yes
AKAM,sp500,yes
ALAB,seed,no
ALB,sp500,yes
ALGN,sp500,yes
ALK,sp500,yes
ALL,sp500,yes
ALLE,sp500,yes
ALTR,sp500,yes
ALXN,sp500,yes
AMAT,sp500,yes
AMC,hand,no
AMCR,sp500,yes
AMD,sp500,yes
AME,sp500,yes
AMG,sp500,yes
AMGN,sp500,yes
AMP,sp500,yes
AMT,sp500,yes
AMTM,sp500,yes
AMZN,sp500,yes
AN,sp500,yes
ANDV,sp500,yes
ANET,sp500,yes
ANSS,sp500,yes
ANTM,sp500,yes
AON,sp500,yes
AOS,sp500,yes
APA,sp500,yes
APC,sp500,yes
APD,sp500,yes
APH,sp500,yes
APO,sp500,yes
APP,sp500,yes
APTV,sp500,yes
ARE,sp500,yes
ARES,sp500,yes
ARG,sp500,yes
ARNC,sp500,yes
ASTS,seed,no
ATI,sp500,yes
ATO,sp500,yes
ATVI,sp500,yes
AUR,seed,no
AVB,sp500,yes
AVGO,sp500,yes
AVY,sp500,yes
AWK,sp500,yes
AXON,sp500,yes
AXP,sp500,yes
AYI,sp500,yes
AZO,sp500,yes
BA,sp500,yes
BAC,sp500,yes
BALL,sp500,yes
BAX,sp500,yes
BBBY,sp500,yes
BBT,sp500,yes
BBWI,sp500,yes
BBY,sp500,yes
BCR,sp500,yes
BDX,sp500,yes
BE,seed,no
BEN,sp500,yes
BF.B,sp500,yes
BG,sp500,yes
BHF,sp500,yes
BHGE,sp500,yes
BIIB,sp500,yes
BIO,sp500,yes
BK,sp500,yes
BKNG,sp500,yes
BKR,sp500,yes
BLDR,sp500,yes
BLK,sp500,yes
BLL,sp500,yes
BMNR,seed,no
BMY,sp500,yes
BNY,sp500,yes
BR,sp500,yes
BRCM,sp500,yes
BRK.B,sp500,yes
BRO,sp500,yes
BSX,sp500,yes
BWA,sp500,yes
BX,sp500,yes
BXLT,sp500,yes
BXP,sp500,yes
C,sp500,yes
CA,sp500,yes
CAG,sp500,yes
CAH,sp500,yes
CAM,sp500,yes
CARR,sp500,yes
CASY,sp500,yes
CAT,sp500,yes
CB,sp500,yes
CBOE,sp500,yes
CBRE,sp500,yes
CBS,sp500,yes
CCE,sp500,yes
CCEP,sp500,yes
CCI,sp500,yes
CCL,sp500,yes
CDAY,sp500,yes
CDE,seed,no
CDNS,sp500,yes
CDW,sp500,yes
CE,sp500,yes
CEG,sp500,yes
CELG,sp500,yes
CERN,sp500,yes
CF,sp500,yes
CFG,sp500,yes
CHD,sp500,yes
CHK,sp500,yes
CHRW,sp500,yes
CHTR,sp500,yes
CI,sp500,yes
CIEN,sp500,yes
CIFR,seed,no
CINF,sp500,yes
CL,sp500,yes
CLX,sp500,yes
CMA,sp500,yes
CMCSA,sp500,yes
CMCSK,sp500,yes
CME,sp500,yes
CMG,sp500,yes
CMI,sp500,yes
CMS,sp500,yes
CNC,sp500,yes
CNP,sp500,yes
CNX,sp500,yes
COF,sp500,yes
COG,sp500,yes
COHR,sp500,yes
COIN,sp500,yes
COL,sp500,yes
COO,sp500,yes
COP,sp500,yes
COR,sp500,yes
COST,sp500,yes
COTY,sp500,yes
CPAY,sp500,yes
