ticker,source,sector,exchange,flag,as_of
AAL,seed,Transportation,NASDAQ,,2026-08-28
AAPL,seed,Electronic Technology,NASDAQ,,2026-08-28
ACHR,seed,Electronic Technology,NYSE,,2026-08-28
AMD,seed,Electronic Technology,NASDAQ,,2026-08-28
AMZN,seed,Retail Trade,NASDAQ,,2026-08-28
AUR,seed,Technology Services,NASDAQ,spec,2026-08-28
AVGO,seed,Electronic Technology,NASDAQ,,2026-08-28
BAC,seed,Finance,NYSE,,2026-08-28
BMNR,seed,Finance,NYSE,spec,2026-08-28
CAG,seed,Consumer Non-Durables,NYSE,,2026-08-28
CDE,seed,Non-Energy Minerals,NYSE,small,2026-08-28
CIFR,seed,Technology Services,NASDAQ,,2026-08-28
CMCSA,seed,Consumer Services,NASDAQ,,2026-08-28
CRWV,seed,Technology Services,NASDAQ,,2026-08-28
CSCO,seed,Electronic Technology,NASDAQ,,2026-08-28
F,seed,Consumer Durables,NYSE,,2026-08-28
GOOG,seed,Technology Services,NASDAQ,,2026-08-28
GOOGL,seed,Technology Services,NASDAQ,,2026-08-28
HL,seed,Non-Energy Minerals,NYSE,,2026-08-28
HOOD,seed,Finance,NASDAQ,,2026-08-28
HTZ,seed,unknown,NASDAQ,micro,2026-08-28
INTC,seed,Electronic Technology,NASDAQ,,2026-08-28
IREN,seed,Technology Services,NASDAQ,,2026-08-28
KEEL,seed,Technology Services,NASDAQ,spec,2026-08-28
MARA,seed,Technology Services,NASDAQ,,2026-08-28
MRVL,seed,Electronic Technology,NASDAQ,,2026-08-28
MSFT,seed,Technology Services,NASDAQ,,2026-08-28
MSTR,seed,Technology Services,NASDAQ,,2026-08-28
MU,seed,Electronic Technology,NASDAQ,,2026-08-28
NFLX,seed,Technology Services,NASDAQ,,2026-08-28
NKE,seed,Consumer Non-Durables,NYSE,,2026-08-28
NOK,seed,unknown,NYSE,adr,2026-08-28
NU,seed,Finance,NYSE,,2026-08-28
NVDA,seed,Electronic Technology,NASDAQ,,2026-08-28
ORCL,seed,Technology Services,NYSE,,2026-08-28
PFE,seed,Health Technology,NYSE,,2026-08-28
PLTR,seed,Technology Services,NASDAQ,,2026-08-28
RGTI,seed,Electronic Technology,NASDAQ,,2026-08-28
RIVN,seed,Consumer Durables,NASDAQ,,2026-08-28
RKLB,seed,Electronic Technology,NASDAQ,,2026-08-28
SMCI,seed,Electronic Technology,NASDAQ,,2026-08-28
SMR,seed,Producer Manufacturing,NYSE,,2026-08-28
SNAP,seed,Technology Services,NYSE,,2026-08-28
SOC,seed,unknown,NYSE,micro,2026-08-28
SOFI,seed,Finance,NASDAQ,,2026-08-28
